name,link,year,employees,avg,median
Town of South Hill,https://govsalaries.com/salaries/VA/town-of-south-hill?year=2020,2020,81,41656,41656
Lunenburg County,https://govsalaries.com/salaries/VA/lunenburg-county?year=2020,2020,80,25990,25990
Lunenburg County,https://govsalaries.com/salaries/VA/lunenburg-county?year=2020,2020,80,25990,25990
Middle Peninsula Juvenile Detention Commission,https://govsalaries.com/salaries/VA/middle-peninsula-juvenile-detention-commission?year=2020,2020,80,32228,32228
Town of Chincoteague,https://govsalaries.com/salaries/VA/town-of-chincoteague?year=2020,2020,79,33354,33354
Chesapeake Redevelopment and Housing Authority,https://govsalaries.com/salaries/VA/chesapeake-redevelopment-and-housing-authority?year=2020,2020,79,30005,30005
Town of Marion,https://govsalaries.com/salaries/VA/town-of-marion?year=2020,2020,79,41099,41099
Governor's Office,https://govsalaries.com/salaries/VA/governor-s-office?year=2020,2020,78,50482,50482
Middlesex County,https://govsalaries.com/salaries/VA/middlesex-county?year=2020,2020,78,45163,45163
Handley Regional Library,https://govsalaries.com/salaries/VA/handley-regional-library?year=2020,2020,78,18255,18255
Surry County,https://govsalaries.com/salaries/VA/surry-county?year=2020,2020,77,48856,48856
Town of Wise,https://govsalaries.com/salaries/VA/town-of-wise?year=2020,2020,76,30433,30433
Middle Peninsula Regional Security Center,https://govsalaries.com/salaries/VA/middle-peninsula-regional-security-center?year=2020,2020,76,51035,51035
Cumberland County,https://govsalaries.com/salaries/VA/cumberland-county?year=2020,2020,75,39608,39608
Rappahannock County,https://govsalaries.com/salaries/VA/rappahannock-county?year=2020,2020,73,49599,49599
Piedmont Regional Education School District,https://govsalaries.com/salaries/VA/piedmont-regional-education-school-district?year=2020,2020,70,57687,57687
Charlottesville-Albemarle Technical Education Center,https://govsalaries.com/salaries/VA/charlottesville-albemarle-technical-education-center?year=2020,2020,69,26281,26281
Department of Rail and Public Transportation,https://govsalaries.com/salaries/VA/department-of-rail-and-public-transportation?year=2020,2020,69,83276,83276
Giles County,https://govsalaries.com/salaries/VA/giles-county?year=2020,2020,65,46017,46017
Southside Regional Jail,https://govsalaries.com/salaries/VA/southside-regional-jail?year=2020,2020,65,31251,31251
Virginia Peninsula Public Service Authority,https://govsalaries.com/salaries/VA/virginia-peninsula-public-service-authority?year=2020,2020,65,30261,30261
Department of Historic Resources,https://govsalaries.com/salaries/VA/department-of-historic-resources?year=2020,2020,63,47199,47199
State Council of Higher Education For Virginia,https://govsalaries.com/salaries/VA/state-council-of-higher-education-for-virginia?year=2020,2020,63,67828,67828
Buckingham County,https://govsalaries.com/salaries/VA/buckingham-county?year=2020,2020,61,49982,49982
Southern Virginia Higher Education Center,https://govsalaries.com/salaries/VA/southern-virginia-higher-education-center?year=2020,2020,60,37458,37458
Department of Elections,https://govsalaries.com/salaries/VA/department-of-elections?year=2020,2020,60,70767,70767
Frontier Culture Museum,https://govsalaries.com/salaries/VA/frontier-culture-museum?year=2020,2020,60,24485,24485
Alleghany County,https://govsalaries.com/salaries/VA/alleghany-county?year=2020,2020,59,40080,40080
Massanutten Regional Library,https://govsalaries.com/salaries/VA/massanutten-regional-library?year=2020,2020,57,21146,21146
Town of Lebanon,https://govsalaries.com/salaries/VA/town-of-lebanon?year=2020,2020,57,40178,40178
Rockbridge Regional Library,https://govsalaries.com/salaries/VA/rockbridge-regional-library?year=2020,2020,56,14718,14718
Highland County Public Schools,https://govsalaries.com/salaries/VA/highland-county-public-schools?year=2020,2020,55,38418,38418
Virginia Parole Board,https://govsalaries.com/salaries/VA/virginia-parole-board?year=2020,2020,55,32122,32122
Appomattox Regional Library,https://govsalaries.com/salaries/VA/appomattox-regional-library?year=2020,2020,53,19671,19671
Charlottesville-Albemarle Airport Authority,https://govsalaries.com/salaries/VA/charlottesville-albemarle-airport-authority?year=2020,2020,52,54974,54974
Town of Chilhowie,https://govsalaries.com/salaries/VA/town-of-chilhowie?year=2020,2020,52,27381,27381
Rockbridge Area Regional Jail Commission,https://govsalaries.com/salaries/VA/rockbridge-area-regional-jail-commission?year=2020,2020,52,34160,34160
Roanoke Valley Detention Commission,https://govsalaries.com/salaries/VA/roanoke-valley-detention-commission?year=2020,2020,51,37656,37656
Virginia Museum of Natural History,https://govsalaries.com/salaries/VA/virginia-museum-of-natural-history?year=2020,2020,50,28739,28739
Pamunkey Regional Library,https://govsalaries.com/salaries/VA/pamunkey-regional-library?year=2020,2020,50,31176,31176
Department of Planning and Budget,https://govsalaries.com/salaries/VA/department-of-planning-and-budget?year=2020,2020,49,85049,85049
Blackwater River Regional Library,https://govsalaries.com/salaries/VA/blackwater-river-regional-library?year=2020,2020,49,20866,20866
Hampton Roads Transportation District,https://govsalaries.com/salaries/VA/hampton-roads-transportation-district?year=2020,2020,48,75805,75805
Town of Mount Jackson,https://govsalaries.com/salaries/VA/town-of-mount-jackson?year=2020,2020,46,22655,22655
Highland County,https://govsalaries.com/salaries/VA/highland-county?year=2020,2020,44,34760,34760
Fairfax County Economic Development Authority,https://govsalaries.com/salaries/VA/fairfax-county-economic-development-authority?year=2020,2020,43,91380,91380
Town of Appomattox,https://govsalaries.com/salaries/VA/town-of-appomattox?year=2020,2020,43,23942,23942
Town of Stanley,https://govsalaries.com/salaries/VA/town-of-stanley?year=2020,2020,42,20295,20295
Tazewell County Public Service Authority,https://govsalaries.com/salaries/VA/tazewell-county-public-service-authority?year=2020,2020,42,38819,38819
Southwest Virginia Higher Education Center,https://govsalaries.com/salaries/VA/southwest-virginia-higher-education-center?year=2020,2020,42,29642,29642
Office of State Inspector General,https://govsalaries.com/salaries/VA/office-of-state-inspector-general?year=2020,2020,41,78636,78636
Town of Cape Charles,https://govsalaries.com/salaries/VA/town-of-cape-charles?year=2020,2020,41,42844,42844
Department of Small Business and Supplier Diversity,https://govsalaries.com/salaries/VA/department-of-small-business-and-supplier-diversity?year=2020,2020,40,71352,71352
Town of Amherst,https://govsalaries.com/salaries/VA/town-of-amherst?year=2020,2020,39,29663,29663
Blue Ridge Juvenile Detention Commission,https://govsalaries.com/salaries/VA/blue-ridge-juvenile-detention-commission?year=2020,2020,38,48941,48941
Town of Lawrenceville,https://govsalaries.com/salaries/VA/town-of-lawrenceville?year=2020,2020,37,31988,31988
City of Pearisburg,https://govsalaries.com/salaries/VA/city-of-pearisburg?year=2020,2020,37,42689,42689
Department of Department of Aviation,https://govsalaries.com/salaries/VA/department-of-department-of-aviation?year=2020,2020,37,74135,74135
Town of Crewe,https://govsalaries.com/salaries/VA/town-of-crewe?year=2020,2020,36,36017,36017
Town of New Market,https://govsalaries.com/salaries/VA/town-of-new-market?year=2020,2020,35,28402,28402
Crater Juvenile Detention Home,https://govsalaries.com/salaries/VA/crater-juvenile-detention-home?year=2020,2020,35,39441,39441
Town of Dublin,https://govsalaries.com/salaries/VA/town-of-dublin?year=2020,2020,35,30071,30071
Town of Bowling Green,https://govsalaries.com/salaries/VA/town-of-bowling-green?year=2020,2020,34,20774,20774
Town of Elkton,https://govsalaries.com/salaries/VA/town-of-elkton?year=2020,2020,34,41219,41219
Town of Appalachia,https://govsalaries.com/salaries/VA/town-of-appalachia?year=2020,2020,32,19906,19906
Joint Legislative Audit and Review Commission (Jlarc),https://govsalaries.com/salaries/VA/joint-legislative-audit-and-review-commission-jlarc?year=2020,2020,31,94604,94604
Northern Neck Technical Center,https://govsalaries.com/salaries/VA/northern-neck-technical-center?year=2020,2020,31,36806,36806
Northern Neck Regional Special Education Program,https://govsalaries.com/salaries/VA/northern-neck-regional-special-education-program?year=2020,2020,30,28470,28470
Town of Clarksville,https://govsalaries.com/salaries/VA/town-of-clarksville?year=2020,2020,30,38910,38910
Town of St. Paul,https://govsalaries.com/salaries/VA/town-of-st-paul?year=2020,2020,30,31714,31714
